Frame,YOLO_ms,Lane_ms,BEV_ms,Total_ms,FPS
591,16.17,30.25,1.01,47.94,20.86
592,18.16,29.16,1.21,49.07,20.38
593,17.01,25.97,1.13,44.7,22.37
594,16.88,26.94,1.07,45.38,22.04
595,15.94,29.26,1.19,46.98,21.28
596,23.54,27.06,1.62,52.88,18.91
597,17.15,26.18,1.42,45.35,22.05
598,16.52,25.52,1.27,43.87,22.79
599,16.24,28.07,1.31,46.21,21.64
600,21.22,27.18,1.27,50.27,19.89
601,16.41,25.6,1.2,43.77,22.85
602,17.89,26.02,1.47,46.05,21.72
603,16.31,27.82,1.34,46.2,21.64
604,18.14,28.22,1.05,47.96,20.85
605,16.48,25.73,0.96,43.66,22.91
606,17.4,26.41,1.29,45.75,21.86
607,16.35,27.81,2.4,47.69,20.97
608,18.21,27.3,1.2,47.3,21.14
609,16.28,24.94,1.38,43.25,23.12
610,17.62,26.14,1.3,45.63,21.91
611,16.12,28.54,1.33,46.65,21.44
612,17.17,26.76,1.21,45.73,21.87
613,16.18,25.39,1.48,43.7,22.89
614,17.06,25.43,1.58,44.78,22.33
615,16.1,29.84,1.31,47.86,20.89
616,17.85,27.7,1.4,47.62,21.0
617,16.01,25.0,1.49,43.17,23.16
618,17.62,26.33,1.25,45.79,21.84
619,15.67,27.51,1.0,44.66,22.39
620,18.72,31.28,1.38,51.98,19.24
621,16.29,26.49,1.02,44.32,22.56
622,17.94,26.0,0.94,45.37,22.04
623,16.3,28.7,1.45,47.16,21.2
624,19.13,27.29,1.47,48.63,20.56
